claim_id,pet_id,provider_id,month,region,provider_type,species,breed_group,age,complexity,condition,treatment,units,unit_price,paid,referred,vet_note,source
C0001001,P0117,VET-002,2025-01,regional,gp,dog,small,1,0,dermatitis,consult,1,162.72,162.72,false,dermatitis; age 1; complexity 0; managed in setting,synthetic-v1
C0001002,P1880,VET-002,2025-01,regional,gp,cat,mixed,13,0,dermatitis,medication,1,173.48,173.48,false,dermatitis; age 13; complexity 0; managed in setting,synthetic-v1
C0001003,P0180,VET-002,2025-01,regional,gp,cat,large,10,1,dermatitis,consult,1,188.87,188.87,false,dermatitis; age 10; complexity 1; managed in setting,synthetic-v1
C0001004,P0687,VET-002,2025-01,regional,gp,dog,small,14,0,otitis,consult,1,205.99,205.99,false,otitis; age 14; complexity 0; managed in setting,synthetic-v1
C0001005,P1168,VET-002,2025-01,regional,gp,dog,large,5,1,dermatitis,consult,2,182.50,365.00,false,dermatitis; age 5; complexity 1; managed in setting,synthetic-v1
C0001006,P2260,VET-002,2025-01,regional,gp,cat,mixed,14,0,dermatitis,consult,1,183.17,183.17,false,dermatitis; age 14; complexity 0; managed in setting,synthetic-v1
C0001007,P0272,VET-002,2025-01,regional,gp,dog,mixed,7,1,dermatitis,consult,1,203.71,203.71,false,dermatitis; age 7; complexity 1; managed in setting,synthetic-v1
C0001008,P0069,VET-002,2025-01,regional,gp,dog,large,1,1,otitis,consult,1,179.79,179.79,false,otitis; age 1; complexity 1; managed in setting,synthetic-v1
C0001009,P1202,VET-002,2025-01,regional,gp,cat,small,2,0,gastroenteritis,consult,2,159.91,319.81,false,gastroenteritis; age 2; complexity 0; repeat visit; managed in setting,synthetic-v1
C0001010,P1518,VET-002,2025-01,regional,gp,cat,large,7,1,otitis,consult,2,164.45,328.91,false,otitis; age 7; complexity 1; managed in setting,synthetic-v1
C0001011,P1088,VET-002,2025-01,regional,gp,dog,mixed,9,0,gastroenteritis,consult,2,190.99,381.97,false,gastroenteritis; age 9; complexity 0; managed in setting,synthetic-v1
C0001012,P1515,VET-002,2025-01,regional,gp,cat,medium,2,0,otitis,cytology,2,94.88,189.77,true,otitis; age 2; complexity 0; referral noted,synthetic-v1
C0001013,P1004,VET-002,2025-01,regional,gp,cat,mixed,6,1,otitis,consult,1,153.87,153.87,false,otitis; age 6; complexity 1; managed in setting,synthetic-v1
C0001014,P2035,VET-002,2025-01,regional,gp,dog,mixed,1,2,dermatitis,medication,2,145.33,290.67,true,dermatitis; age 1; complexity 2; repeat visit; referral noted,synthetic-v1
C0001015,P2092,VET-002,2025-01,regional,gp,cat,medium,4,0,dermatitis,medication,1,126.86,126.86,false,dermatitis; age 4; complexity 0; managed in setting,synthetic-v1
C0001016,P2204,VET-002,2025-01,regional,gp,cat,medium,2,0,otitis,consult,1,159.03,159.03,false,otitis; age 2; complexity 0; managed in setting,synthetic-v1
C0001017,P2384,VET-002,2025-01,regional,gp,cat,medium,12,0,gastroenteritis,pathology,1,215.49,215.49,false,gastroenteritis; age 12; complexity 0; managed in setting,synthetic-v1
C0001018,P1958,VET-002,2025-01,regional,gp,dog,small,9,0,otitis,consult,1,167.49,167.49,false,otitis; age 9; complexity 0; managed in setting,synthetic-v1
C0001019,P1252,VET-002,2025-01,regional,gp,dog,mixed,13,0,gastroenteritis,consult,1,217.53,217.53,false,gastroenteritis; age 13; complexity 0; repeat visit; managed in setting,synthetic-v1
C0001020,P2308,VET-002,2025-01,regional,gp,cat,large,12,1,otitis,consult,2,215.18,430.35,false,otitis; age 12; complexity 1; managed in setting,synthetic-v1
C0001021,P0324,VET-002,2025-01,regional,gp,dog,medium,5,1,gastroenteritis,pathology,1,202.74,202.74,false,gastroenteritis; age 5; complexity 1; managed in setting,synthetic-v1
C0001022,P1268,VET-002,2025-01,regional,gp,dog,large,8,1,dermatitis,medication,1,145.27,145.27,false,dermatitis; age 8; complexity 1; managed in setting,synthetic-v1
C0001023,P2172,VET-002,2025-01,regional,gp,dog,small,3,0,gastroenteritis,pathology,1,210.27,210.27,false,gastroenteritis; age 3; complexity 0; repeat visit; managed in setting,synthetic-v1
C0001024,P1678,VET-002,2025-01,regional,gp,dog,small,2,0,dermatitis,medication,1,123.22,123.22,false,dermatitis; age 2; complexity 0; managed in setting,synthetic-v1
C0001025,P2319,VET-002,2025-01,regional,gp,dog,large,12,0,otitis,consult,1,177.34,177.34,false,otitis; age 12; complexity 0; managed in setting,synthetic-v1
C0001026,P1746,VET-002,2025-01,regional,gp,dog,large,9,0,gastroenteritis,pathology,1,202.46,202.46,true,gastroenteritis; age 9; complexity 0; referral noted,synthetic-v1
C0001027,P2235,VET-002,2025-01,regional,gp,dog,small,9,0,otitis,cytology,2,100.67,201.35,true,otitis; age 9; complexity 0; referral noted,synthetic-v1
C0002000,P1296,VET-003,2025-01,rural,gp,dog,medium,10,1,gastroenteritis,consult,2,216.14,432.29,false,gastroenteritis; age 10; complexity 1; managed in setting,synthetic-v1
C0002001,P2177,VET-003,2025-01,rural,gp,dog,small,11,0,otitis,consult,1,167.56,167.56,false,otitis; age 11; complexity 0; managed in setting,synthetic-v1
C0002002,P0443,VET-003,2025-01,rural,gp,cat,small,1,0,dermatitis,medication,1,134.26,134.26,false,dermatitis; age 1; complexity 0; repeat visit; managed in setting,synthetic-v1
C0002003,P1934,VET-003,2025-01,rural,gp,dog,small,4,0,gastroenteritis,consult,1,178.83,178.83,false,gastroenteritis; age 4; complexity 0; managed in setting,synthetic-v1
C0002004,P0038,VET-003,2025-01,rural,gp,dog,large,5,1,dermatitis,medication,2,145.65,291.30,false,dermatitis; age 5; complexity 1; managed in setting,synthetic-v1
C0002005,P2020,VET-003,2025-01,rural,gp,dog,large,12,1,dermatitis,consult,1,244.57,244.57,true,dermatitis; age 12; complexity 1; referral noted,synthetic-v1
C0002006,P1179,VET-003,2025-01,rural,gp,dog,small,2,0,otitis,cytology,1,107.11,107.11,false,otitis; age 2; complexity 0; managed in setting,synthetic-v1
C0002007,P2265,VET-003,2025-01,rural,gp,dog,large,9,1,gastroenteritis,pathology,1,246.42,246.42,false,gastroenteritis; age 9; complexity 1; managed in setting,synthetic-v1
C0002008,P1707,VET-003,2025-01,rural,gp,cat,medium,13,0,otitis,consult,1,190.22,190.22,false,otitis; age 13; complexity 0; managed in setting,synthetic-v1
C0002009,P0573,VET-003,2025-01,rural,gp,cat,large,11,0,gastroenteritis,pathology,1,211.53,211.53,false,gastroenteritis; age 11; complexity 0; managed in setting,synthetic-v1
C0002010,P0834,VET-003,2025-01,rural,gp,cat,small,5,2,dermatitis,consult,1,192.19,192.19,false,dermatitis; age 5; complexity 2; managed in setting,synthetic-v1
C0002011,P0124,VET-003,2025-01,rural,gp,dog,small,13,1,otitis,cytology,2,161.09,322.19,true,otitis; age 13; complexity 1; referral noted,synthetic-v1
C0002012,P1620,VET-003,2025-01,rural,gp,dog,large,4,2,otitis,consult,2,210.95,421.91,false,otitis; age 4; complexity 2; managed in setting,synthetic-v1
C0002013,P0737,VET-003,2025-01,rural,gp,dog,mixed,13,0,otitis,cytology,1,121.41,121.41,false,otitis; age 13; complexity 0; managed in setting,synthetic-v1
C0002014,P0648,VET-003,2025-01,rural,gp,dog,small,6,0,dermatitis,consult,2,174.20,348.40,true,dermatitis; age 6; complexity 0; referral noted,synthetic-v1
C0002015,P2041,VET-003,2025-01,rural,gp,dog,mixed,1,0,gastroenteritis,pathology,1,211.15,211.15,false,gastroenteritis; age 1; complexity 0; managed in setting,synthetic-v1
C0002016,P1700,VET-003,2025-01,rural,gp,cat,mixed,12,0,dermatitis,medication,2,171.43,342.86,false,dermatitis; age 12; complexity 0; managed in setting,synthetic-v1
C0002017,P2210,VET-003,2025-01,rural,gp,cat,medium,6,0,gastroenteritis,consult,1,177.29,177.29,false,gastroenteritis; age 6; complexity 0; managed in setting,synthetic-v1
C0002018,P1689,VET-003,2025-01,rural,gp,dog,large,9,0,otitis,consult,1,176.96,176.96,false,otitis; age 9; complexity 0; managed in setting,synthetic-v1
C0002019,P0709,VET-003,2025-01,rural,gp,cat,mixed,7,1,dermatitis,consult,1,185.90,185.90,true,dermatitis; age 7; complexity 1; referral noted,synthetic-v1
C0002020,P1979,VET-003,2025-01,rural,gp,dog,medium,4,1,otitis,consult,2,199.00,398.00,false,otitis; age 4; complexity 1; repeat visit; managed in setting,synthetic-v1
C0002021,P1061,VET-003,2025-01,rural,gp,cat,small,11,0,gastroenteritis,consult,1,194.43,194.43,false,gastroenteritis; age 11; complexity 0; managed in setting,synthetic-v1
C0003000,P2291,VET-004,2025-01,metro,emergency,dog,small,13,1,dermatitis,consult,2,305.57,611.13,true,dermatitis; age 13; complexity 1; referral noted,synthetic-v1
C0003001,P2362,VET-004,2025-01,metro,emergency,dog,mixed,5,1,gastroenteritis,pathology,1,264.18,264.18,true,gastroenteritis; age 5; complexity 1; referral noted,synthetic-v1
C0003002,P0863,VET-004,2025-01,metro,emergency,cat,mixed,12,2,gastroenteritis,consult,2,300.20,600.40,true,gastroenteritis; age 12; complexity 2; referral noted,synthetic-v1
C0003003,P0387,VET-004,2025-01,metro,emergency,cat,mixed,12,1,otitis,consult,1,248.29,248.29,true,otitis; age 12; complexity 1; referral noted,synthetic-v1
C0003004,P2133,VET-004,2025-01,metro,emergency,cat,medium,13,1,dermatitis,medication,2,230.89,461.77,true,dermatitis; age 13; complexity 1; referral noted,synthetic-v1
C0003005,P1223,VET-004,2025-01,metro,emergency,dog,medium,7,2,otitis,consult,1,264.17,264.17,true,otitis; age 7; complexity 2; repeat visit; referral noted,synthetic-v1
C0003006,P2238,VET-004,2025-01,metro,emergency,dog,medium,2,0,otitis,cytology,1,140.74,140.74,true,otitis; age 2; complexity 0; repeat visit; referral noted,synthetic-v1
C0003007,P0015,VET-004,2025-01,metro,emergency,dog,large,3,0,gastroenteritis,pathology,1,259.72,259.72,true,gastroenteritis; age 3; complexity 0; referral noted,synthetic-v1
C0003008,P1816,VET-004,2025-01,metro,emergency,dog,medium,11,0,otitis,consult,2,236.00,472.01,true,otitis; age 11; complexity 0; referral noted,synthetic-v1
C0003009,P0494,VET-004,2025-01,metro,emergency,dog,medium,14,1,dermatitis,medication,2,230.33,460.66,true,dermatitis; age 14; complexity 1; repeat visit; referral noted,synthetic-v1
C0003010,P1911,VET-004,2025-01,metro,emergency,dog,medium,14,2,dermatitis,medication,2,252.23,504.46,true,dermatitis; age 14; complexity 2; referral noted,synthetic-v1
C0003011,P0553,VET-004,2025-01,metro,emergency,dog,mixed,10,0,gastroenteritis,pathology,1,303.41,303.41,true,gastroenteritis; age 10; complexity 0; repeat visit; referral noted,synthetic-v1
C0003012,P0934,VET-004,2025-01,metro,emergency,dog,small,6,0,dermatitis,medication,1,166.95,166.95,true,dermatitis; age 6; complexity 0; referral noted,synthetic-v1
C0003013,P0533,VET-004,2025-01,metro,emergency,dog,large,6,0,dermatitis,consult,1,225.28,225.28,true,dermatitis; age 6; complexity 0; referral noted,synthetic-v1
C0003014,P0784,VET-004,2025-01,metro,emergency,dog,large,12,0,otitis,cytology,1,153.49,153.49,true,otitis; age 12; complexity 0; referral noted,synthetic-v1
C0003015,P1431,VET-004,2025-01,metro,emergency,dog,mixed,5,0,dermatitis,consult,1,199.16,199.16,true,dermatitis; age 5; complexity 0; referral noted,synthetic-v1
C0003016,P0489,VET-004,2025-01,metro,emergency,cat,mixed,2,2,otitis,cytology,1,159.44,159.44,true,otitis; age 2; complexity 2; referral noted,synthetic-v1
C0003017,P2113,VET-004,2025-01,metro,emergency,dog,large,11,0,gastroenteritis,consult,1,293.62,293.62,true,gastroenteritis; age 11; complexity 0; referral noted,synthetic-v1
C0003018,P0743,VET-004,2025-01,metro,emergency,dog,mixed,10,0,dermatitis,consult,1,220.62,220.62,true,dermatitis; age 10; complexity 0; referral noted,synthetic-v1
C0003019,P1735,VET-004,2025-01,metro,emergency,dog,small,3,1,otitis,cytology,2,157.34,314.69,true,otitis; age 3; complexity 1; repeat visit; referral noted,synthetic-v1
C0003020,P0397,VET-004,2025-01,metro,emergency,dog,small,12,0,otitis,cytology,1,151.53,151.53,true,otitis; age 12; complexity 0; referral noted,synthetic-v1
C0003021,P0608,VET-004,2025-01,metro,emergency,dog,large,9,0,otitis,consult,1,221.58,221.58,true,otitis; age 9; complexity 0; referral noted,synthetic-v1
C0003022,P1292,VET-004,2025-01,metro,emergency,cat,mixed,13,0,dermatitis,medication,1,224.84,224.84,true,dermatitis; age 13; complexity 0; referral noted,synthetic-v1
C0004000,P1399,VET-005,2025-01,regional,emergency,dog,medium,4,1,gastroenteritis,consult,1,257.34,257.34,true,gastroenteritis; age 4; complexity 1; referral noted,synthetic-v1
C0004001,P1209,VET-005,2025-01,regional,emergency,cat,small,11,0,otitis,cytology,1,155.36,155.36,true,otitis; age 11; complexity 0; referral noted,synthetic-v1
C0004002,P2311,VET-005,2025-01,regional,emergency,cat,mixed,1,1,otitis,cytology,1,163.64,163.64,true,otitis; age 1; complexity 1; referral noted,synthetic-v1
C0004003,P1900,VET-005,2025-01,regional,emergency,dog,medium,5,1,gastroenteritis,consult,1,284.57,284.57,true,gastroenteritis; age 5; complexity 1; referral noted,synthetic-v1
C0004004,P1864,VET-005,2025-01,regional,emergency,dog,mixed,4,1,dermatitis,consult,1,289.93,289.93,true,dermatitis; age 4; complexity 1; referral noted,synthetic-v1
C0004005,P0785,VET-005,2025-01,regional,emergency,dog,mixed,12,0,otitis,consult,1,248.48,248.48,true,otitis; age 12; complexity 0; repeat visit; referral noted,synthetic-v1
C0004006,P1899,VET-005,2025-01,regional,emergency,dog,medium,10,1,dermatitis,consult,1,282.18,282.18,true,dermatitis; age 10; complexity 1; referral noted,synthetic-v1
C0004007,P0085,VET-005,2025-01,regional,emergency,dog,mixed,1,0,gastroenteritis,consult,1,238.10,238.10,true,gastroenteritis; age 1; complexity 0; referral noted,synthetic-v1
C0004008,P0526,VET-005,2025-01,regional,emergency,dog,small,5,0,otitis,cytology,2,150.38,300.77,true,otitis; age 5; complexity 0; referral noted,synthetic-v1
C0004009,P1842,VET-005,2025-01,regional,emergency,cat,mixed,12,0,dermatitis,consult,1,283.11,283.11,true,dermatitis; age 12; complexity 0; referral noted,synthetic-v1
C0004010,P1978,VET-005,2025-01,regional,emergency,dog,large,10,1,gastroenteritis,pathology,1,337.71,337.71,true,gastroenteritis; age 10; complexity 1; referral noted,synthetic-v1
C0004011,P1972,VET-005,2025-01,regional,emergency,dog,small,4,1,otitis,consult,1,216.78,216.78,true,otitis; age 4; complexity 1; repeat visit; referral noted,synthetic-v1
C0004012,P1181,VET-005,2025-01,regional,emergency,dog,medium,3,2,dermatitis,medication,2,243.90,487.81,true,dermatitis; age 3; complexity 2; referral noted,synthetic-v1
C0004013,P2142,VET-005,2025-01,regional,emergency,dog,mixed,7,1,gastroenteritis,pathology,2,313.16,626.31,true,gastroenteritis; age 7; complexity 1; referral noted,synthetic-v1
C0004014,P2128,VET-005,2025-01,regional,emergency,cat,large,2,2,dermatitis,consult,1,303.57,303.57,true,dermatitis; age 2; complexity 2; repeat visit; referral noted,synthetic-v1
C0004015,P0128,VET-005,2025-01,regional,emergency,dog,large,13,1,dermatitis,medication,1,262.00,262.00,true,dermatitis; age 13; complexity 1; referral noted,synthetic-v1
C0004016,P2301,VET-005,2025-01,regional,emergency,dog,medium,1,2,gastroenteritis,consult,1,276.05,276.05,true,gastroenteritis; age 1; complexity 2; referral noted,synthetic-v1
C0004017,P2029,VET-005,2025-01,regional,emergency,cat,small,12,0,otitis,consult,1,279.14,279.14,true,otitis; age 12; complexity 0; referral noted,synthetic-v1
C0004018,P0159,VET-005,2025-01,regional,emergency,dog,large,7,1,gastroenteritis,pathology,1,337.39,337.39,true,gastroenteritis; age 7; complexity 1; referral noted,synthetic-v1
C0004019,P1420,VET-005,2025-01,regional,emergency,dog,small,14,1,dermatitis,consult,2,343.18,686.37,true,dermatitis; age 14; complexity 1; referral noted,synthetic-v1
C0005000,P0986,VET-006,2025-01,rural,emergency,dog,mixed,9,1,dermatitis,consult,1,302.28,302.28,true,dermatitis; age 9; complexity 1; referral noted,synthetic-v1
C0005001,P2334,VET-006,2025-01,rural,emergency,dog,mixed,1,2,gastroenteritis,pathology,1,389.97,389.97,true,gastroenteritis; age 1; complexity 2; referral noted,synthetic-v1
C0005002,P1001,VET-006,2025-01,rural,emergency,dog,mixed,13,1,gastroenteritis,consult,1,397.80,397.80,true,gastroenteritis; age 13; complexity 1; referral noted,synthetic-v1
C0005003,P2203,VET-006,2025-01,rural,emergency,dog,small,11,2,gastroenteritis,pathology,1,408.46,408.46,true,gastroenteritis; age 11; complexity 2; referral noted,synthetic-v1
C0005004,P0923,VET-006,2025-01,rural,emergency,dog,large,14,0,otitis,cytology,1,200.97,200.97,true,otitis; age 14; complexity 0; referral noted,synthetic-v1
C0005005,P2190,VET-006,2025-01,rural,emergency,dog,large,10,0,gastroenteritis,consult,1,283.82,283.82,true,gastroenteritis; age 10; complexity 0; referral noted,synthetic-v1
C0005006,P0197,VET-006,2025-01,rural,emergency,dog,small,9,0,gastroenteritis,pathology,1,296.25,296.25,true,gastroenteritis; age 9; complexity 0; referral noted,synthetic-v1
C0005007,P1247,VET-006,2025-01,rural,emergency,dog,mixed,8,1,dermatitis,medication,2,226.76,453.53,true,dermatitis; age 8; complexity 1; referral noted,synthetic-v1
C0005008,P0909,VET-006,2025-01,rural,emergency,dog,mixed,14,0,dermatitis,consult,1,289.97,289.97,true,dermatitis; age 14; complexity 0; referral noted,synthetic-v1
C0005009,P1613,VET-006,2025-01,rural,emergency,dog,large,5,0,gastroenteritis,consult,1,275.67,275.67,true,gastroenteritis; age 5; complexity 0; referral noted,synthetic-v1
C0005010,P1792,VET-006,2025-01,rural,emergency,dog,large,14,1,otitis,cytology,2,209.59,419.19,true,otitis; age 14; complexity 1; referral noted,synthetic-v1
C0005011,P1515,VET-006,2025-01,rural,emergency,cat,large,12,0,dermatitis,medication,2,239.72,479.43,true,dermatitis; age 12; complexity 0; referral noted,synthetic-v1
C0005012,P1955,VET-006,2025-01,rural,emergency,dog,large,7,1,dermatitis,medication,1,224.70,224.70,true,dermatitis; age 7; complexity 1; referral noted,synthetic-v1
C0005013,P1971,VET-006,2025-01,rural,emergency,dog,mixed,7,2,otitis,cytology,2,211.46,422.93,true,otitis; age 7; complexity 2; referral noted,synthetic-v1
C0005014,P2127,VET-006,2025-01,rural,emergency,cat,large,14,0,gastroenteritis,pathology,2,380.86,761.71,true,gastroenteritis; age 14; complexity 0; referral noted,synthetic-v1
C0005015,P0130,VET-006,2025-01,rural,emergency,dog,large,14,2,gastroenteritis,consult,1,447.39,447.39,true,gastroenteritis; age 14; complexity 2; repeat visit; referral noted,synthetic-v1
C0005016,P1929,VET-006,2025-01,rural,emergency,dog,mixed,9,0,dermatitis,medication,1,206.83,206.83,true,dermatitis; age 9; complexity 0; referral noted,synthetic-v1
C0005017,P0769,VET-006,2025-01,rural,emergency,dog,small,13,0,dermatitis,consult,1,294.85,294.85,true,dermatitis; age 13; complexity 0; referral noted,synthetic-v1
C0005018,P0331,VET-006,2025-01,rural,emergency,cat,small,10,1,dermatitis,medication,1,252.70,252.70,true,dermatitis; age 10; complexity 1; referral noted,synthetic-v1
C0005019,P1458,VET-006,2025-01,rural,emergency,cat,large,10,0,otitis,cytology,1,170.60,170.60,true,otitis; age 10; complexity 0; repeat visit; referral noted,synthetic-v1
C0005020,P1976,VET-006,2025-01,rural,emergency,dog,large,3,2,dermatitis,consult,1,296.34,296.34,true,dermatitis; age 3; complexity 2; repeat visit; referral noted,synthetic-v1
C0005021,P0670,VET-006,2025-01,rural,emergency,cat,large,7,0,otitis,consult,1,238.57,238.57,true,otitis; age 7; complexity 0; referral noted,synthetic-v1
C0005022,P1233,VET-006,2025-01,rural,emergency,dog,small,6,1,dermatitis,medication,1,230.96,230.96,true,dermatitis; age 6; complexity 1; referral noted,synthetic-v1
C0005023,P0685,VET-006,2025-01,rural,emergency,cat,small,14,2,dermatitis,consult,1,392.71,392.71,true,dermatitis; age 14; complexity 2; referral noted,synthetic-v1
C0005024,P1791,VET-006,2025-01,rural,emergency,cat,large,1,0,dermatitis,medication,1,185.68,185.68,true,dermatitis; age 1; complexity 0; referral noted,synthetic-v1
C0005025,P0899,VET-006,2025-01,rural,emergency,dog,medium,9,2,otitis,consult,1,324.15,324.15,true,otitis; age 9; complexity 2; referral noted,synthetic-v1
C0005026,P1678,VET-006,2025-01,rural,emergency,dog,small,9,1,otitis,consult,1,275.95,275.95,true,otitis; age 9; complexity 1; referral noted,synthetic-v1
C0006000,P1316,VET-007,2025-01,metro,specialty,dog,mixed,1,0,dermatitis,consult,1,337.36,337.36,true,dermatitis; age 1; complexity 0; repeat visit; referral noted,synthetic-v1
C0006001,P0412,VET-007,2025-01,metro,specialty,dog,mixed,10,0,gastroenteritis,pathology,2,313.84,627.69,true,gastroenteritis; age 10; complexity 0; referral noted,synthetic-v1
C0006002,P0336,VET-007,2025-01,metro,specialty,dog,medium,6,0,otitis,consult,1,305.06,305.06,true,otitis; age 6; complexity 0; referral noted,synthetic-v1
C0006003,P2181,VET-007,2025-01,metro,specialty,dog,medium,7,2,dermatitis,consult,1,451.85,451.85,true,dermatitis; age 7; complexity 2; referral noted,synthetic-v1
C0006004,P0280,VET-007,2025-01,metro,specialty,dog,small,2,0,dermatitis,medication,1,221.32,221.32,true,dermatitis; age 2; complexity 0; repeat visit; referral noted,synthetic-v1
C0006005,P2173,VET-007,2025-01,metro,specialty,dog,medium,5,0,dermatitis,medication,1,231.78,231.78,true,dermatitis; age 5; complexity 0; referral noted,synthetic-v1
C0006006,P0967,VET-007,2025-01,metro,specialty,dog,large,6,0,dermatitis,consult,1,323.28,323.28,true,dermatitis; age 6; complexity 0; referral noted,synthetic-v1
C0006007,P0763,VET-007,2025-01,metro,specialty,cat,mixed,10,0,dermatitis,medication,1,245.49,245.49,true,dermatitis; age 10; complexity 0; referral noted,synthetic-v1
C0006008,P1909,VET-007,2025-01,metro,specialty,cat,mixed,12,0,dermatitis,medication,1,220.19,220.19,true,dermatitis; age 12; complexity 0; referral noted,synthetic-v1
C0006009,P0296,VET-007,2025-01,metro,specialty,dog,small,5,1,dermatitis,medication,1,250.26,250.26,true,dermatitis; age 5; complexity 1; referral noted,synthetic-v1
C0006010,P2128,VET-007,2025-01,metro,specialty,cat,large,13,0,gastroenteritis,consult,1,442.23,442.23,true,gastroenteritis; age 13; complexity 0; referral noted,synthetic-v1
C0006011,P1045,VET-007,2025-01,metro,specialty,dog,large,5,0,otitis,cytology,1,230.94,230.94,true,otitis; age 5; complexity 0; repeat visit; referral noted,synthetic-v1
C0006012,P1968,VET-007,2025-01,metro,specialty,dog,mixed,11,1,gastroenteritis,consult,1,503.08,503.08,true,gastroenteritis; age 11; complexity 1; repeat visit; referral noted,synthetic-v1
C0006013,P2090,VET-007,2025-01,metro,specialty,dog,small,13,0,gastroenteritis,consult,1,408.17,408.17,true,gastroenteritis; age 13; complexity 0; referral noted,synthetic-v1
